scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF1;fuseki;Q01;warm;1;91,760;1
SF1;fuseki;Q01;warm;2;229,551;1
SF1;fuseki;Q01;warm;3;621,926;1
SF1;fuseki;Q01;warm;4;50,984;1
SF1;fuseki;Q01;warm;5;47,570;1
SF1;fuseki;Q01;warm;6;47,234;1
SF1;fuseki;Q01;warm;7;69,177;1
SF1;fuseki;Q01;warm;8;124,682;1
SF1;fuseki;Q01;warm;9;48,411;1
SF1;fuseki;Q01;warm;10;152,713;1
SF1;fuseki;Q01;warm;11;51,212;1
SF1;fuseki;Q01;warm;12;73,402;1
SF1;fuseki;Q01;warm;13;39,693;1
SF1;fuseki;Q01;warm;14;62,417;1
SF1;fuseki;Q01;warm;15;97,886;1
SF1;fuseki;Q01;warm;16;43,928;1
SF1;fuseki;Q01;warm;17;48,074;1
SF1;fuseki;Q01;warm;18;71,975;1
SF1;fuseki;Q01;warm;19;58,659;1
SF1;fuseki;Q01;warm;20;81,314;1
SF1;fuseki;Q01;warm;21;72,626;1
SF1;fuseki;Q01;warm;22;53,941;1
SF1;fuseki;Q01;warm;23;53,074;1
SF1;fuseki;Q01;warm;24;94,859;1
SF1;fuseki;Q01;warm;25;46,601;1
SF1;fuseki;Q01;warm;26;56,648;1
SF1;fuseki;Q01;warm;27;53,000;1
SF1;fuseki;Q01;warm;28;448,178;1
SF1;fuseki;Q01;warm;29;39,514;1
SF1;fuseki;Q01;warm;30;40,094;1
SF1;neo4j;Q01;warm;1;18,235;1
SF1;neo4j;Q01;warm;2;5,755;1
SF1;neo4j;Q01;warm;3;5,329;1
SF1;neo4j;Q01;warm;4;6,031;1
SF1;neo4j;Q01;warm;5;4,176;1
SF1;neo4j;Q01;warm;6;38,587;1
SF1;neo4j;Q01;warm;7;2,656;1
SF1;neo4j;Q01;warm;8;2,647;1
SF1;neo4j;Q01;warm;9;2,545;1
SF1;neo4j;Q01;warm;10;4,198;1
SF1;neo4j;Q01;warm;11;3,338;1
SF1;neo4j;Q01;warm;12;3,290;1
SF1;neo4j;Q01;warm;13;2,814;1
SF1;neo4j;Q01;warm;14;2,742;1
SF1;neo4j;Q01;warm;15;6,440;1
SF1;neo4j;Q01;warm;16;4,248;1
SF1;neo4j;Q01;warm;17;2,604;1
SF1;neo4j;Q01;warm;18;17,921;1
SF1;neo4j;Q01;warm;19;5,044;1
SF1;neo4j;Q01;warm;20;2,985;1
SF1;neo4j;Q01;warm;21;2,763;1
SF1;neo4j;Q01;warm;22;127,115;1
SF1;neo4j;Q01;warm;23;18,297;1
SF1;neo4j;Q01;warm;24;3,388;1
SF1;neo4j;Q01;warm;25;3,474;1
SF1;neo4j;Q01;warm;26;3,100;1
SF1;neo4j;Q01;warm;27;4,388;1
SF1;neo4j;Q01;warm;28;3,783;1
SF1;neo4j;Q01;warm;29;4,560;1
SF1;neo4j;Q01;warm;30;3,066;1
SF1;gql;Q01;warm;1;3,059;1
SF1;gql;Q01;warm;2;4,061;1
SF1;gql;Q01;warm;3;113,316;1
SF1;gql;Q01;warm;4;3,746;1
SF1;gql;Q01;warm;5;4,191;1
SF1;gql;Q01;warm;6;3,391;1
SF1;gql;Q01;warm;7;5,115;1
SF1;gql;Q01;warm;8;3,739;1
SF1;gql;Q01;warm;9;3,279;1
SF1;gql;Q01;warm;10;3,687;1
SF1;gql;Q01;warm;11;4,311;1
SF1;gql;Q01;warm;12;5,012;1
SF1;gql;Q01;warm;13;4,235;1
SF1;gql;Q01;warm;14;4,932;1
SF1;gql;Q01;warm;15;5,574;1
