scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF3;fuseki;Q01;cold;0;30;1;1;True;1163,696;1147,667;74,407;5536,372;1053,159;1469,788;416,629;0,064;1129,959;1147,667;1177,075;1231,368;1252,831;1408,846
SF3;neo4j;Q01;cold;0;30;1;1;True;3338,993;3248,390;227,517;51763,817;3144,764;4197,468;1052,704;0,068;3220,028;3248,390;3357,433;3607,405;3792,309;4096,017
SF3;gql;Q01;cold;0;30;1;1;True;3011,664;3207,106;440,622;194147,508;2367,853;3904,836;1536,983;0,146;2488,037;3207,106;3258,908;3297,881;3579,642;3876,783
SF3;fuseki;Q02;cold;0;30;2;2;True;291095,286;290877,233;1616,540;2613200,880;287265,200;295356,845;8091,646;0,006;290251,056;290877,233;292009,270;292956,015;293575,439;294951,367
SF3;neo4j;Q02;cold;0;30;2;2;True;3806,243;3788,403;97,045;9417,787;3676,473;4086,634;410,161;0,025;3751,596;3788,403;3826,771;3939,229;4015,487;4083,433
SF3;gql;Q02;cold;0;30;2;2;True;3771,415;3775,840;520,629;271054,812;2835,919;5602,548;2766,629;0,138;3698,268;3775,840;3905,720;4171,202;4324,595;5260,408
SF3;fuseki;Q03;cold;0;30;10;10;True;7389,401;6951,084;2406,378;5790654,617;6784,347;20118,516;13334,170;0,326;6871,536;6951,084;7031,306;7100,788;7184,719;16375,889
SF3;neo4j;Q03;cold;0;30;10;10;True;27395,033;26245,441;2521,662;6358777,689;24182,319;33616,765;9434,446;0,092;26011,456;26245,441;27915,132;31780,353;32846,644;33435,967
SF3;gql;Q03;cold;0;30;10;10;True;28267,772;28200,452;1126,504;1269010,218;25866,658;30901,948;5035,289;0,040;27619,391;28200,452;28869,999;29725,845;30171,468;30750,042
SF3;fuseki;Q04;cold;0;30;10;10;True;1415,661;1407,002;45,425;2063,475;1333,258;1515,729;182,471;0,032;1390,064;1407,002;1443,426;1472,634;1497,405;1514,856
SF3;neo4j;Q04;cold;0;30;10;10;True;2867,139;2543,086;609,520;371515,124;2387,125;4346,526;1959,401;0,213;2491,755;2543,086;3206,939;3765,016;4058,754;4301,962
SF3;gql;Q04;cold;0;30;10;10;True;3517,485;3689,676;487,160;237325,141;2452,099;4104,011;1651,913;0,138;3648,255;3689,676;3739,520;3790,676;3930,337;4055,140
SF3;fuseki;Q05;cold;0;30;10;10;True;5356,135;5338,082;179,261;32134,458;5038,350;6143,412;1105,062;0,033;5285,064;5338,082;5386,231;5448,020;5553,394;5984,033
SF3;neo4j;Q05;cold;0;30;10;10;True;4861,603;4929,006;427,853;183058,075;3370,028;5592,152;2222,124;0,088;4859,834;4929,006;5011,391;5078,744;5164,264;5487,182
SF3;gql;Q05;cold;0;30;10;10;True;5323,632;5101,301;632,692;400299,376;4891,525;7429,046;2537,521;0,119;5024,760;5101,301;5236,094;6246,893;6838,594;7265,417
SF3;fuseki;Q06;cold;0;30;10;10;True;221274,030;220321,601;7080,547;50134142,122;208747,519;247079,559;38332,040;0,032;217548,314;220321,601;223399,130;226687,325;232647,392;243680,124
SF3;neo4j;Q06;cold;0;30;10;10;True;150956,891;106922,886;74605,625;5565999224,028;92180,918;328485,628;236304,710;0,494;101181,369;106922,886;169067,925;276266,613;314517,118;325756,337
SF3;gql;Q06;cold;0;30;10;10;True;132085,632;137179,356;21441,218;459725847,341;94574,117;165875,728;71301,611;0,162;113728,862;137179,356;149211,840;155359,194;161797,467;164897,335
SF3;fuseki;Q07;cold;0;30;10;10;True;71687,914;38204,447;50225,089;2522559561,864;36235,922;168743,941;132508,019;0,701;37128,847;38204,447;126931,138;149107,315;159705,215;166596,404
SF3;neo4j;Q07;cold;0;30;10;10;True;3053,899;2812,020;560,983;314701,627;2676,362;4738,664;2062,302;0,184;2735,963;2812,020;2940,306;3869,274;4322,962;4664,423
SF3;gql;Q07;cold;0;30;10;10;True;3147,760;2807,088;592,530;351091,684;2712,534;4893,173;2180,639;0,188;2745,266;2807,088;3783,327;3868,758;4064,171;4654,334
SF3;fuseki;Q08;cold;0;30;10;10;True;506421,202;508397,067;32240,457;1039447090,777;424932,324;556564,410;131632,087;0,064;489344,254;508397,067;525856,394;540582,951;552955,649;555771,662
SF3;neo4j;Q08;cold;0;30;10;10;True;16491,154;15877,491;1116,802;1247245,973;15432,979;19210,009;3777,030;0,068;15634,690;15877,491;17244,333;18090,027;18356,132;19019,558
SF3;gql;Q08;cold;0;30;10;10;True;17509,434;17242,999;1148,604;1319292,220;15790,458;20741,210;4950,752;0,066;16930,208;17242,999;17578,967;19177,939;19978,926;20565,081
SF3;fuseki;Q09;cold;0;30;10;10;True;264574,384;241309,571;93664,337;8773007972,019;157652,779;444640,605;286987,827;0,354;184176,588;241309,571;328402,277;411335,458;429187,394;443417,705
SF3;neo4j;Q09;cold;0;30;10;10;True;15427,107;15235,105;1309,005;1713494,418;14460,953;21263,834;6802,881;0,085;14798,225;15235,105;15383,490;15619,563;17326,097;20441,158
