scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF3;fuseki;Q01;cold;1;1053,159;1
SF3;fuseki;Q01;cold;2;1128,787;1
SF3;fuseki;Q01;cold;3;1100,830;1
SF3;fuseki;Q01;cold;4;1148,011;1
SF3;fuseki;Q01;cold;5;1090,110;1
SF3;fuseki;Q01;cold;6;1126,072;1
SF3;fuseki;Q01;cold;7;1164,158;1
SF3;fuseki;Q01;cold;8;1188,776;1
SF3;fuseki;Q01;cold;9;1469,788;1
SF3;fuseki;Q01;cold;10;1229,909;1
SF3;fuseki;Q01;cold;11;1216,628;1
SF3;fuseki;Q01;cold;12;1137,450;1
SF3;fuseki;Q01;cold;13;1133,473;1
SF3;fuseki;Q01;cold;14;1147,323;1
SF3;fuseki;Q01;cold;15;1150,834;1
SF3;fuseki;Q01;cold;16;1144,307;1
SF3;fuseki;Q01;cold;17;1073,948;1
SF3;fuseki;Q01;cold;18;1154,057;1
SF3;fuseki;Q01;cold;19;1140,706;1
SF3;fuseki;Q01;cold;20;1134,604;1
SF3;fuseki;Q01;cold;21;1118,988;1
SF3;fuseki;Q01;cold;22;1115,865;1
SF3;fuseki;Q01;cold;23;1202,524;1
SF3;fuseki;Q01;cold;24;1173,170;1
SF3;fuseki;Q01;cold;25;1171,334;1
SF3;fuseki;Q01;cold;26;1177,479;1
SF3;fuseki;Q01;cold;27;1175,863;1
SF3;fuseki;Q01;cold;28;1259,644;1
SF3;fuseki;Q01;cold;29;1138,566;1
SF3;fuseki;Q01;cold;30;1244,504;1
SF3;neo4j;Q01;cold;1;3275,272;1
SF3;neo4j;Q01;cold;2;3218,950;1
SF3;neo4j;Q01;cold;3;3202,025;1
SF3;neo4j;Q01;cold;4;3278,734;1
SF3;neo4j;Q01;cold;5;3144,764;1
SF3;neo4j;Q01;cold;6;3231,529;1
SF3;neo4j;Q01;cold;7;3372,200;1
SF3;neo4j;Q01;cold;8;3368,474;1
SF3;neo4j;Q01;cold;9;3594,374;1
SF3;neo4j;Q01;cold;10;3324,309;1
SF3;neo4j;Q01;cold;11;3240,909;1
SF3;neo4j;Q01;cold;12;3211,910;1
SF3;neo4j;Q01;cold;13;3198,262;1
SF3;neo4j;Q01;cold;14;3203,207;1
SF3;neo4j;Q01;cold;15;3260,856;1
SF3;neo4j;Q01;cold;16;3242,763;1
SF3;neo4j;Q01;cold;17;3192,971;1
SF3;neo4j;Q01;cold;18;3290,356;1
SF3;neo4j;Q01;cold;19;3191,563;1
SF3;neo4j;Q01;cold;20;3724,686;1
SF3;neo4j;Q01;cold;21;3223,263;1
SF3;neo4j;Q01;cold;22;3236,746;1
SF3;neo4j;Q01;cold;23;3232,781;1
SF3;neo4j;Q01;cold;24;4197,468;1
SF3;neo4j;Q01;cold;25;3422,686;1
SF3;neo4j;Q01;cold;26;3847,637;1
SF3;neo4j;Q01;cold;27;3448,365;1
SF3;neo4j;Q01;cold;28;3254,016;1
SF3;neo4j;Q01;cold;29;3310,171;1
SF3;neo4j;Q01;cold;30;3228,542;1
SF3;gql;Q01;cold;1;3238,725;1
SF3;gql;Q01;cold;2;3172,018;1
SF3;gql;Q01;cold;3;3251,311;1
SF3;gql;Q01;cold;4;3207,124;1
SF3;gql;Q01;cold;5;3222,916;1
SF3;gql;Q01;cold;6;3300,417;1
SF3;gql;Q01;cold;7;3183,612;1
SF3;gql;Q01;cold;8;3161,379;1
SF3;gql;Q01;cold;9;3278,274;1
SF3;gql;Q01;cold;10;3196,977;1
SF3;gql;Q01;cold;11;2498,231;1
SF3;gql;Q01;cold;12;2400,006;1
SF3;gql;Q01;cold;13;2484,638;1
SF3;gql;Q01;cold;14;2391,424;1
SF3;gql;Q01;cold;15;2476,107;1
SF3;gql;Q01;cold;16;2462,748;1
SF3;gql;Q01;cold;17;2538,770;1
SF3;gql;Q01;cold;18;2389,145;1
SF3;gql;Q01;cold;19;2367,853;1
SF3;gql;Q01;cold;20;2410,208;1
SF3;gql;Q01;cold;21;3216,672;1
SF3;gql;Q01;cold;22;3297,599;1
SF3;gql;Q01;cold;23;3904,836;1
SF3;gql;Q01;cold;24;3244,364;1
SF3;gql;Q01;cold;25;3262,950;1
SF3;gql;Q01;cold;26;3286,196;1
SF3;gql;Q01;cold;27;3808,100;1
SF3;gql;Q01;cold;28;3228,799;1
SF3;gql;Q01;cold;29;3207,088;1
SF3;gql;Q01;cold;30;3261,440;1
SF3;fuseki;Q02;cold;1;290851,003;2
SF3;fuseki;Q02;cold;2;290332,647;2
SF3;fuseki;Q02;cold;3;288526,941;2
SF3;fuseki;Q02;cold;4;290504,303;2
SF3;fuseki;Q02;cold;5;287265,200;2
SF3;fuseki;Q02;cold;6;290957,208;2
SF3;fuseki;Q02;cold;7;292267,045;2
SF3;fuseki;Q02;cold;8;290876,510;2
SF3;fuseki;Q02;cold;9;291423,684;2
SF3;fuseki;Q02;cold;10;291076,014;2
SF3;fuseki;Q02;cold;11;291983,198;2
SF3;fuseki;Q02;cold;12;295356,845;2
SF3;fuseki;Q02;cold;13;290146,726;2
SF3;fuseki;Q02;cold;14;292017,961;2
SF3;fuseki;Q02;cold;15;289813,379;2
SF3;fuseki;Q02;cold;16;290743,049;2
SF3;fuseki;Q02;cold;17;293107,078;2
SF3;fuseki;Q02;cold;18;288949,644;2
SF3;fuseki;Q02;cold;19;289778,293;2
SF3;fuseki;Q02;cold;20;289955,783;2
SF3;fuseki;Q02;cold;21;292939,230;2
SF3;fuseki;Q02;cold;22;291078,940;2
SF3;fuseki;Q02;cold;23;290877,956;2
SF3;fuseki;Q02;cold;24;290525,711;2
SF3;fuseki;Q02;cold;25;290223,860;2
SF3;fuseki;Q02;cold;26;292677,913;2
SF3;fuseki;Q02;cold;27;292373,763;2
SF3;fuseki;Q02;cold;28;291825,601;2
SF3;fuseki;Q02;cold;29;293958,644;2
SF3;fuseki;Q02;cold;30;290444,456;2
SF3;neo4j;Q02;cold;1;3676,473;2
SF3;neo4j;Q02;cold;2;3739,270;2
SF3;neo4j;Q02;cold;3;3773,750;2
SF3;neo4j;Q02;cold;4;3852,315;2
SF3;neo4j;Q02;cold;5;3938,918;2
SF3;neo4j;Q02;cold;6;3792,090;2
SF3;neo4j;Q02;cold;7;3754,660;2
SF3;neo4j;Q02;cold;8;3810,751;2
SF3;neo4j;Q02;cold;9;3766,670;2
SF3;neo4j;Q02;cold;10;3856,387;2
SF3;neo4j;Q02;cold;11;3717,403;2
SF3;neo4j;Q02;cold;12;3724,545;2
SF3;neo4j;Q02;cold;13;3752,174;2
