scale_factor;engine;query;cache_mode;warmups;repeats;record_count_min;record_count_max;record_count_stable;mean_ms;median_ms;stddev_ms;variance_ms2;min_ms;max_ms;range_ms;coefficient_of_variation;p25_ms;p50_ms;p75_ms;p90_ms;p95_ms;p99_ms
SF3;fuseki;Q01;warm;10;30;1;1;True;127,195;120,263;22,174;491,695;106,694;208,584;101,890;0,174;112,834;120,263;130,305;152,300;167,012;200,010
SF3;neo4j;Q01;warm;10;30;1;1;True;6,565;6,034;2,988;8,928;4,277;21,833;17,556;0,455;5,570;6,034;6,540;7,081;7,697;17,741
SF3;gql;Q01;warm;10;30;1;1;True;8,871;5,616;16,065;258,083;3,986;93,657;89,670;1,811;5,231;5,616;6,290;7,954;9,583;69,583
SF3;fuseki;Q02;warm;10;30;2;2;True;228457,943;228475,465;2008,266;4033134,171;223286,104;232990,388;9704,285;0,009;227503,156;228475,465;229344,995;230633,941;231807,574;232788,283
SF3;neo4j;Q02;warm;10;30;2;2;True;170,117;166,705;14,743;217,360;158,549;229,136;70,587;0,087;163,018;166,705;169,533;174,204;196,451;224,842
SF3;gql;Q02;warm;10;30;2;2;True;169,635;166,631;8,437;71,188;160,447;201,471;41,023;0,050;163,702;166,631;173,599;175,628;181,886;197,099
SF3;fuseki;Q03;warm;10;30;10;10;True;3969,940;3968,791;47,998;2303,851;3898,658;4099,159;200,501;0,012;3942,855;3968,791;4007,041;4020,105;4039,128;4085,447
SF3;neo4j;Q03;warm;10;30;10;10;True;15067,688;15010,413;334,489;111882,837;14568,102;15964,527;1396,425;0,022;14884,824;15010,413;15224,305;15505,185;15687,507;15888,465
SF3;gql;Q03;warm;10;30;10;10;True;1329,260;429,318;3131,443;9805933,026;407,737;13292,423;12884,686;2,356;421,684;429,318;452,368;776,327;7856,642;12977,768
SF3;fuseki;Q04;warm;10;30;10;10;True;197,853;193,325;16,178;261,726;179,824;251,755;71,932;0,082;190,120;193,325;196,896;211,716;238,525;248,936
SF3;neo4j;Q04;warm;10;30;10;10;True;21,247;17,464;16,251;264,106;15,723;105,833;90,110;0,765;16,578;17,464;19,180;22,006;27,328;84,180
SF3;gql;Q04;warm;10;30;10;10;True;186,080;16,532;894,016;799265,168;15,633;4917,842;4902,209;4,804;16,084;16,532;19,810;30,209;97,810;3534,943
SF3;fuseki;Q05;warm;10;30;10;10;True;2738,664;2723,249;71,350;5090,790;2647,131;2942,169;295,038;0,026;2701,379;2723,249;2751,190;2848,825;2884,386;2927,517
SF3;neo4j;Q05;warm;10;30;10;10;True;183,074;172,455;23,769;564,971;166,523;256,251;89,728;0,130;170,406;172,455;180,353;222,474;236,903;252,150
SF3;gql;Q05;warm;10;30;10;10;True;194,303;180,670;57,615;3319,535;173,716;494,980;321,263;0,297;177,350;180,670;189,596;202,621;207,960;412,634
SF3;fuseki;Q06;warm;10;30;10;10;True;105175,640;89978,533;37814,711;1429952363,058;74730,280;209643,886;134913,606;0,360;79833,686;89978,533;105069,225;167798,980;191750,337;207307,912
SF3;neo4j;Q06;warm;10;30;10;10;True;68732,783;67703,011;2310,833;5339949,988;67068,824;77503,444;10434,620;0,034;67438,058;67703,011;69434,723;71673,417;72676,842;76270,359
SF3;gql;Q06;warm;10;30;10;10;True;68351,841;67886,415;1269,257;1611013,914;67356,423;73095,804;5739,380;0,019;67668,293;67886,415;68402,947;69427,169;70877,255;72743,007
SF3;fuseki;Q07;warm;10;30;10;10;True;36930,166;36818,274;392,648;154172,617;36441,505;38046,404;1604,899;0,011;36615,949;36818,274;37148,454;37371,756;37585,267;37928,760
SF3;neo4j;Q07;warm;10;30;10;10;True;23,276;16,312;20,706;428,757;4,108;80,771;76,663;0,890;7,166;16,312;27,233;50,516;67,788;78,980
SF3;gql;Q07;warm;10;30;10;10;True;16,397;6,758;24,047;578,238;3,889;125,288;121,398;1,467;5,086;6,758;21,944;29,484;48,656;105,873
SF3;fuseki;Q08;warm;10;30;10;10;True;554809,005;556044,080;17330,140;300333746,253;519154,690;596870,436;77715,746;0,031;541537,246;556044,080;563237,375;576645,266;579128,619;592184,115
SF3;neo4j;Q08;warm;10;30;10;10;True;12172,844;12250,744;457,882;209655,613;11431,657;13282,336;1850,679;0,038;11803,939;12250,744;12528,638;12618,132;12786,777;13176,415
SF3;gql;Q08;warm;10;30;10;10;True;12635,666;12282,572;2310,969;5340577,089;11246,652;24572,012;13325,359;0,183;11808,139;12282,572;12610,842;13022,000;13186,380;21305,328
SF3;fuseki;Q09;warm;10;30;10;10;True;296286,411;294607,342;56357,248;3176139402,461;198835,127;412938,183;214103,056;0,190;259445,390;294607,342;324023,994;369813,533;375064,475;402400,074
SF3;neo4j;Q09;warm;10;30;10;10;True;5664,531;5169,101;1449,436;2100863,402;5065,875;11567,940;6502,064;0,256;5127,007;5169,101;5235,154;6984,917;8550,727;10989,867
SF3;gql;Q09;warm;10;30;10;10;True;5240,074;5146,173;371,274;137844,341;5056,284;7112,406;2056,123;0,071;5117,755;5146,173;5209,601;5293,832;5513,187;6698,012
SF3;fuseki;Q10;warm;10;30;10;10;True;2797,541;2762,844;114,724;13161,699;2682,828;3240,790;557,962;0,041;2735,226;2762,844;2810,105;2905,451;2999,257;3189,649
SF3;neo4j;Q10;warm;10;30;10;10;True;179,900;172,453;24,080;579,860;163,551;268,884;105,333;0,134;168,720;172,453;178,578;194,695;229,074;265,457
SF3;gql;Q10;warm;10;30;10;10;True;169,493;167,608;6,967;48,532;162,670;197,586;34,916;0,041;166,380;167,608;169,788;174,754;181,029;192,919
